sale_id,customer_id,product_id,quantity,total_price,sale_date,sale_price,product_name,category,price,customer_name,email,phone,address,city,country,registration_date
1,10,17,6,888.42,2025-01-03,148.07,Fire Per,Clothing,148.07,William Berg,katie05@example.com,+1-922-318-7823x9056,"USNS Duncan, FPO AP 16042",Port Rebeccaport,Nigeria,2022-01-10
2,5,1,2,636.72,2025-01-11,318.36,Way Degree,Clothing,318.36,Sophia Parker,sarahwilliams@example.net,001-802-656-9088,"1337 Sarah Club Suite 958, Michaelstad, WV 95325",North Anna,United States of America,2022-01-05
3,5,40,4,1207.28,2025-01-07,301.82,Of Position,Clothing,301.82,Sophia Parker,sarahwilliams@example.net,001-802-656-9088,"1337 Sarah Club Suite 958, Michaelstad, WV 95325",North Anna,United States of America,2022-01-05
8,5,43,10,2733.1,2025-01-19,273.31,Able Democrat,Electronics,273.31,Sophia Parker,sarahwilliams@example.net,001-802-656-9088,"1337 Sarah Club Suite 958, Michaelstad, WV 95325",North Anna,United States of America,2022-01-05
36,5,18,7,2863.07,2025-01-11,409.01000000000005,Deal Look,Books,409.01,Sophia Parker,sarahwilliams@example.net,001-802-656-9088,"1337 Sarah Club Suite 958, Michaelstad, WV 95325",North Anna,United States of America,2022-01-05
10,3,1,5,1591.8,2025-01-22,318.36,Way Degree,Clothing,318.36,Tammy Sanford,xperez@example.com,(873)413-0282x88047,"071 Matthew Crescent, Mitchellport, LA 77420",Shannonfurt,Mongolia,2022-01-03
48,3,41,7,875.42,2025-01-07,125.05999999999999,Artist Catch,Clothing,125.06,Tammy Sanford,xperez@example.com,(873)413-0282x88047,"071 Matthew Crescent, Mitchellport, LA 77420",Shannonfurt,Mongolia,2022-01-03
17,45,1,3,955.08,2025-01-22,318.36,Way Degree,Clothing,318.36,Robert Simon,joseph46@example.net,769.482.3999x602,"Unit 4632 Box 4185, DPO AA 90570",Onealland,Jamaica,2022-02-14
12,45,11,5,1519.1,2025-01-24,303.82,Past Understand,Electronics,303.82,Robert Simon,joseph46@example.net,769.482.3999x602,"Unit 4632 Box 4185, DPO AA 90570",Onealland,Jamaica,2022-02-14
37,45,30,3,1157.19,2025-01-10,385.73,Condition Use,Home Appliances,385.73,Robert Simon,joseph46@example.net,769.482.3999x602,"Unit 4632 Box 4185, DPO AA 90570",Onealland,Jamaica,2022-02-14
45,8,1,7,2228.52,2025-01-09,318.36,Way Degree,Clothing,318.36,Frank Russo,pottskimberly@example.org,+1-391-319-8753x22268,"128 Howard Crossing Suite 265, East William, UT 97469",Taylorfurt,United States of America,2022-01-08
22,13,40,7,2112.74,2025-01-20,301.82,Of Position,Clothing,301.82,Daniel Mcdonald,mark65@example.org,001-466-235-6367x2177,"14132 David Rapids Suite 440, Kevinburgh, IA 46930",Flynnville,Bahrain,2022-01-13
